price,dateSold,bathrooms,bedrooms,livingArea,homeType,lotAreaValue,zipcode,elem,middle,high,Year built
815000,Q2_2021,4.0,4.0,2595.0,TOWNHOUSE,1685.0,20850,stone mill elementary,lakelands park middle,quince orchard high,2.0
815000,Q3_2020,4.0,5.0,2964.0,SINGLE_FAMILY,6160.0,20878,thurgood marshall elementary,lakelands park middle,quince orchard high,23.0
815000,Q3_2021,3.0,5.0,2260.0,SINGLE_FAMILY,16595.00001324,20854,ritchie park elementary,cabin john middle,winston churchill high,58.0
815000,Q2_2021,6.0,5.0,4838.0,TOWNHOUSE,3500.0,20850,college gardens elementary,gaithersburg middle,gaithersburg high,17.0
815500,Q2_2021,4.0,5.0,4045.0,SINGLE_FAMILY,6814.0,20871,wilson wims elementary,rocky hill middle,clarksburg high,16.0
815700,Q3_2020,5.0,4.0,5676.0,SINGLE_FAMILY,7210.0,20833,greenwood elementary,rosa m. parks middle,sherwood high,22.0
816000,Q3_2021,5.0,6.0,4396.0,SINGLE_FAMILY,9675.0,20874,spark m. matsunaga elementary,kingsview middle,northwest high,22.0
816000,Q1_2021,3.0,5.0,3099.0,SINGLE_FAMILY,46173.000004559995,20850,fallsmead elementary,julius west middle,richard montgomery high,60.0
816422,Q2_2021,3.0,4.0,2896.0,SINGLE_FAMILY,10502.0,20850,beall elementary,julius west middle,richard montgomery high,49.0
816500,Q1_2021,5.0,4.0,4244.0,SINGLE_FAMILY,12038.000016240001,20832,sequoyah elementary,rosa m. parks middle,rockville high,23.0
817000,Q2_2021,4.0,5.0,4308.0,SINGLE_FAMILY,109771.00001604,20882,woodfield elementary,hallie wells middle,clarksburg high,28.0
817000,Q3_2020,4.0,4.0,3232.0,SINGLE_FAMILY,8182.0,20878,stone mill elementary,lakelands park middle,quince orchard high,32.0
817000,Q2_2021,3.0,4.0,3550.0,SINGLE_FAMILY,9450.0,20854,ritchie park elementary,julius west middle,winston churchill high,55.0
818000,Q3_2021,3.0,4.0,2078.0,SINGLE_FAMILY,10633.0,20854,cold spring elementary,julius west middle,winston churchill high,50.0
819000,Q1_2021,2.0,3.0,1525.0,SINGLE_FAMILY,6219.0,20817,bethesda elementary,thomas w. pyle middle,walt whitman high,80.0
819000,Q3_2020,5.0,3.0,2850.0,TOWNHOUSE,4055.0,20910,rosemary hills elementary,tilden middle,northwood high,28.0
819373,Q2_2021,5.0,5.0,4896.0,SINGLE_FAMILY,12408.0000066,20904,galway elementary,white oak middle,springbrook high,1.0
820000,Q2_2021,2.0,4.0,1125.0,SINGLE_FAMILY,8596.0,20814,bethesda elementary,north bethesda middle,walt whitman high,80.0
